date,store_id,product_id,category,quantity,revenue,is_holiday,is_promo
2026-06-23,Store-201,PROD-X,Beauty,20,499.8,false,false
2026-06-23,Store-201,PROD-Y,Toys,23,804.77,false,true
2026-06-23,Store-202,PROD-X,Beauty,17,424.83,false,false
2026-06-23,Store-202,PROD-Y,Toys,13,454.87,false,false
2026-06-24,Store-201,PROD-X,Beauty,28,699.72,false,true
2026-06-24,Store-201,PROD-Y,Toys,21,734.79,false,true
2026-06-24,Store-202,PROD-X,Beauty,19,474.81,false,false
2026-06-24,Store-202,PROD-Y,Toys,11,384.89,false,false
2026-06-25,Store-201,PROD-X,Beauty,21,524.79,false,false
2026-06-25,Store-201,PROD-Y,Toys,12,419.88,false,false
2026-06-25,Store-202,PROD-X,Beauty,23,574.77,false,false
2026-06-25,Store-202,PROD-Y,Toys,14,489.86,false,false
2026-06-26,Store-201,PROD-X,Beauty,32,799.68,false,false
2026-06-26,Store-201,PROD-Y,Toys,22,769.78,false,false
2026-06-26,Store-202,PROD-X,Beauty,27,674.73,false,false
2026-06-26,Store-202,PROD-Y,Toys,19,664.81,false,false
2026-06-27,Store-201,PROD-X,Beauty,31,774.69,false,false
2026-06-27,Store-201,PROD-Y,Toys,21,734.79,false,false
2026-06-27,Store-202,PROD-X,Beauty,28,699.72,false,false
2026-06-27,Store-202,PROD-Y,Toys,22,769.78,false,false
2026-06-28,Store-201,PROD-X,Beauty,17,424.83,false,false
2026-06-28,Store-201,PROD-Y,Toys,17,594.83,false,false
2026-06-28,Store-202,PROD-X,Beauty,15,374.85,false,false
2026-06-28,Store-202,PROD-Y,Toys,11,384.89,false,false
2026-06-29,Store-201,PROD-X,Beauty,16,399.84,false,false
2026-06-29,Store-201,PROD-Y,Toys,27,944.73,false,true
2026-06-29,Store-202,PROD-X,Beauty,18,449.82,false,false
2026-06-29,Store-202,PROD-Y,Toys,11,384.89,false,false
2026-06-30,Store-201,PROD-X,Beauty,27,674.73,false,true
2026-06-30,Store-201,PROD-Y,Toys,9,314.91,false,false
2026-06-30,Store-202,PROD-X,Beauty,16,399.84,false,false
2026-06-30,Store-202,PROD-Y,Toys,16,559.84,false,false
2026-07-01,Store-201,PROD-X,Beauty,28,699.72,true,false
2026-07-01,Store-201,PROD-Y,Toys,24,839.76,true,false
2026-07-01,Store-202,PROD-X,Beauty,32,799.68,true,false
2026-07-01,Store-202,PROD-Y,Toys,22,769.78,true,false
2026-07-02,Store-201,PROD-X,Beauty,23,574.77,false,false
2026-07-02,Store-201,PROD-Y,Toys,12,419.88,false,false
2026-07-02,Store-202,PROD-X,Beauty,18,449.82,false,false
2026-07-02,Store-202,PROD-Y,Toys,12,419.88,false,false
2026-07-03,Store-201,PROD-X,Beauty,31,774.69,false,false
2026-07-03,Store-201,PROD-Y,Toys,22,769.78,false,false
2026-07-03,Store-202,PROD-X,Beauty,30,749.7,false,false
2026-07-03,Store-202,PROD-Y,Toys,23,804.77,false,false
2026-07-04,Store-201,PROD-X,Beauty,45,1124.55,false,true
2026-07-04,Store-201,PROD-Y,Toys,22,769.78,false,false
2026-07-04,Store-202,PROD-X,Beauty,31,774.69,false,false
2026-07-04,Store-202,PROD-Y,Toys,19,664.81,false,false
2026-07-05,Store-201,PROD-X,Beauty,23,574.77,false,false
2026-07-05,Store-201,PROD-Y,Toys,8,279.92,false,false
2026-07-05,Store-202,PROD-X,Beauty,18,449.82,false,false
2026-07-05,Store-202,PROD-Y,Toys,14,489.86,false,false
2026-07-06,Store-201,PROD-X,Beauty,18,449.82,false,false
2026-07-06,Store-201,PROD-Y,Toys,13,454.87,false,false
2026-07-06,Store-202,PROD-X,Beauty,12,299.88,false,false
2026-07-06,Store-202,PROD-Y,Toys,10,349.9,false,false
2026-07-07,Store-201,PROD-X,Beauty,15,374.85,false,false
2026-07-07,Store-201,PROD-Y,Toys,18,629.82,false,true
2026-07-07,Store-202,PROD-X,Beauty,19,474.81,false,false
2026-07-07,Store-202,PROD-Y,Toys,8,279.92,false,false
2026-07-08,Store-201,PROD-X,Beauty,17,424.83,false,false
2026-07-08,Store-201,PROD-Y,Toys,13,454.87,false,false
2026-07-08,Store-202,PROD-X,Beauty,30,749.7,false,true
2026-07-08,Store-202,PROD-Y,Toys,13,454.87,false,false
2026-07-09,Store-201,PROD-X,Beauty,18,449.82,false,false
2026-07-09,Store-201,PROD-Y,Toys,13,454.87,false,false
2026-07-09,Store-202,PROD-X,Beauty,28,699.72,false,true
2026-07-09,Store-202,PROD-Y,Toys,13,454.87,false,false
2026-07-10,Store-201,PROD-X,Beauty,31,774.69,false,false
2026-07-10,Store-201,PROD-Y,Toys,23,804.77,false,false
2026-07-10,Store-202,PROD-X,Beauty,33,824.67,false,false
2026-07-10,Store-202,PROD-Y,Toys,24,839.76,false,false
2026-07-11,Store-201,PROD-X,Beauty,29,724.71,false,false
2026-07-11,Store-201,PROD-Y,Toys,34,1189.66,false,true
2026-07-11,Store-202,PROD-X,Beauty,30,749.7,false,false
